class,f1,fn,fp,precision,recall,tp
Myeloblast,0.42666666666666664,142,202,0.3878787878787879,0.4740740740740741,128
Lymphoblast,0.5637342908438061,35,208,0.4301369863013699,0.8177083333333334,157
Neutrophil,0.8269058295964126,37,156,0.747163695299838,0.9257028112449799,461
Atypical lymphocyte,0.9073170731707316,3,35,0.8416289592760181,0.9841269841269841,186
Promonocyte,0.0,22,2,0.0,0.0,0
Monoblast,0.16296296296296298,107,6,0.6470588235294118,0.09322033898305085,11
Lymphocyte,0.41340782122905023,51,54,0.4065934065934066,0.42045454545454547,37
Myelocyte,0.4926470588235293,50,88,0.432258064516129,0.5726495726495726,67
Abnormal promyelocyte,0.0,162,0,0.0,0.0,0
Monocyte,0.15827338129496404,89,28,0.28205128205128205,0.11,11
Metamyelocyte,0.22448979591836735,30,46,0.19298245614035087,0.2682926829268293,11
Eosinophil,0.37931034482758624,22,14,0.44,0.3333333333333333,11
Basophil,0.15384615384615383,2,9,0.1,0.3333333333333333,1
