epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6146,1.7719,3.2184,1.6215,0,0,0,0,0,0,0,0.00014456,0.00014456,0.00014456
2,98.1739,1.56196,1.59082,1.35559,0,0,0,0,0,0,0,0.000291763,0.000291763,0.000291763
3,142.319,1.56252,1.41135,1.36657,0,0,0,0,0,0,0,0.000435993,0.000435993,0.000435993
4,186.282,1.59272,1.41435,1.40591,0,0,0,0,0,0,0,0.000539487,0.000539487,0.000539487
5,230.95,1.5647,1.34483,1.41459,0,0,0,0,0,0,0,0.000533982,0.000533982,0.000533982
6,274.997,1.52763,1.29292,1.37285,0,0,0,0,0,0,0,0.000528478,0.000528478,0.000528478
7,319.504,1.53416,1.24547,1.39799,0,0,0,0,0,0,0,0.000522974,0.000522974,0.000522974
8,363.529,1.52021,1.20338,1.38402,0,0,0,0,0,0,0,0.000517469,0.000517469,0.000517469
9,407.505,1.51793,1.14766,1.38089,0,0,0,0,0,0,0,0.000511965,0.000511965,0.000511965
10,451.474,1.52525,1.16648,1.39942,0,0,0,0,0,0,0,0.00050646,0.00050646,0.00050646
11,495.83,1.50643,1.13322,1.37276,0,0,0,0,0,0,0,0.000500956,0.000500956,0.000500956
12,540.198,1.49823,1.09625,1.3764,0,0,0,0,0,0,0,0.000495452,0.000495452,0.000495452
13,583.984,1.49931,1.06843,1.36553,0,0,0,0,0,0,0,0.000489947,0.000489947,0.000489947
14,628.032,1.4726,1.08694,1.3536,0,0,0,0,0,0,0,0.000484443,0.000484443,0.000484443
15,671.923,1.47669,1.04132,1.37439,0,0,0,0,0,0,0,0.000478938,0.000478938,0.000478938
16,716.166,1.47136,1.01996,1.37162,0,0,0,0,0,0,0,0.000473434,0.000473434,0.000473434
17,760.389,1.49546,1.04572,1.39846,0,0,0,0,0,0,0,0.00046793,0.00046793,0.00046793
18,805.442,1.46035,1.02559,1.36558,0,0,0,0,0,0,0,0.000462425,0.000462425,0.000462425
19,849.158,1.44334,0.98133,1.34991,0,0,0,0,0,0,0,0.000456921,0.000456921,0.000456921
20,893.102,1.47285,0.97761,1.3603,0,0,0,0,0,0,0,0.000451416,0.000451416,0.000451416
21,937.232,1.45946,0.97467,1.35669,0,0,0,0,0,0,0,0.000445912,0.000445912,0.000445912
22,980.875,1.45989,0.99644,1.36264,0,0,0,0,0,0,0,0.000440408,0.000440408,0.000440408
23,1024.74,1.48215,0.9777,1.38843,0,0,0,0,0,0,0,0.000434903,0.000434903,0.000434903
24,1068.95,1.45589,0.94091,1.35189,0,0,0,0,0,0,0,0.000429399,0.000429399,0.000429399
25,1112.93,1.4244,0.92674,1.33671,0,0,0,0,0,0,0,0.000423894,0.000423894,0.000423894
26,1156.92,1.41723,0.90482,1.34572,0,0,0,0,0,0,0,0.00041839,0.00041839,0.00041839
27,1200.66,1.42389,0.93377,1.3463,0,0,0,0,0,0,0,0.000412886,0.000412886,0.000412886
28,1244.73,1.42409,0.92045,1.34976,0,0,0,0,0,0,0,0.000407381,0.000407381,0.000407381
29,1288.43,1.42081,0.92894,1.35422,0,0,0,0,0,0,0,0.000401877,0.000401877,0.000401877
30,1332.18,1.41883,0.89516,1.34134,0,0,0,0,0,0,0,0.000396372,0.000396372,0.000396372
31,1376.09,1.41391,0.87463,1.33727,0,0,0,0,0,0,0,0.000390868,0.000390868,0.000390868
32,1420.27,1.39733,0.89553,1.33679,0,0,0,0,0,0,0,0.000385364,0.000385364,0.000385364
33,1463.89,1.42596,0.86499,1.34649,0,0,0,0,0,0,0,0.000379859,0.000379859,0.000379859
34,1507.94,1.3974,0.88319,1.3274,0,0,0,0,0,0,0,0.000374355,0.000374355,0.000374355
35,1551.84,1.39855,0.88114,1.33885,0,0,0,0,0,0,0,0.00036885,0.00036885,0.00036885
36,1595.9,1.38721,0.823,1.32883,0,0,0,0,0,0,0,0.000363346,0.000363346,0.000363346
37,1639.86,1.38135,0.82422,1.31679,0,0,0,0,0,0,0,0.000357842,0.000357842,0.000357842
38,1683.62,1.37122,0.81748,1.31888,0,0,0,0,0,0,0,0.000352337,0.000352337,0.000352337
39,1727.32,1.36951,0.82865,1.3269,0,0,0,0,0,0,0,0.000346833,0.000346833,0.000346833
40,1771.26,1.37583,0.84436,1.33679,0,0,0,0,0,0,0,0.000341328,0.000341328,0.000341328
41,1814.93,1.38153,0.79901,1.34153,0,0,0,0,0,0,0,0.000335824,0.000335824,0.000335824
42,1858.9,1.35033,0.77634,1.30742,0,0,0,0,0,0,0,0.00033032,0.00033032,0.00033032
43,1902.96,1.35177,0.7834,1.31425,0,0,0,0,0,0,0,0.000324815,0.000324815,0.000324815
44,1947.54,1.34495,0.77228,1.29909,0,0,0,0,0,0,0,0.000319311,0.000319311,0.000319311
45,1991.48,1.3468,0.77359,1.31932,0,0,0,0,0,0,0,0.000313806,0.000313806,0.000313806
46,2035.59,1.32504,0.75344,1.30836,0,0,0,0,0,0,0,0.000308302,0.000308302,0.000308302
47,2079.96,1.31524,0.74161,1.28305,0,0,0,0,0,0,0,0.000302798,0.000302798,0.000302798
48,2124.18,1.31881,0.74474,1.28841,0,0,0,0,0,0,0,0.000297293,0.000297293,0.000297293
49,2168.34,1.31587,0.74689,1.27844,0,0,0,0,0,0,0,0.000291789,0.000291789,0.000291789
50,2212.44,1.29069,0.71732,1.26337,0,0,0,0,0,0,0,0.000286284,0.000286284,0.000286284
51,2256.54,1.30986,0.7209,1.27338,0,0,0,0,0,0,0,0.00028078,0.00028078,0.00028078
52,2300.54,1.2928,0.711,1.27511,0,0,0,0,0,0,0,0.000275276,0.000275276,0.000275276
53,2344.83,1.27729,0.69327,1.27148,0,0,0,0,0,0,0,0.000269771,0.000269771,0.000269771
54,2388.82,1.27539,0.69944,1.26042,0,0,0,0,0,0,0,0.000264267,0.000264267,0.000264267
55,2433.47,1.25945,0.68281,1.26455,0,0,0,0,0,0,0,0.000258762,0.000258762,0.000258762
56,2477.72,1.27207,0.67897,1.28505,0,0,0,0,0,0,0,0.000253258,0.000253258,0.000253258
57,2522.25,1.23906,0.67188,1.24741,0,0,0,0,0,0,0,0.000247754,0.000247754,0.000247754
58,2566.79,1.23157,0.66406,1.24648,0,0,0,0,0,0,0,0.000242249,0.000242249,0.000242249
59,2611.52,1.21763,0.64167,1.22589,0,0,0,0,0,0,0,0.000236745,0.000236745,0.000236745
60,2655.64,1.20378,0.64824,1.22628,0,0,0,0,0,0,0,0.00023124,0.00023124,0.00023124
61,2699.3,1.2116,0.63792,1.2427,0,0,0,0,0,0,0,0.000225736,0.000225736,0.000225736
62,2743.67,1.20523,0.64322,1.22779,0,0,0,0,0,0,0,0.000220232,0.000220232,0.000220232
63,2787.58,1.1646,0.60915,1.21279,0,0,0,0,0,0,0,0.000214727,0.000214727,0.000214727
64,2831.69,1.17413,0.60279,1.2121,0,0,0,0,0,0,0,0.000209223,0.000209223,0.000209223
65,2875.63,1.15979,0.61832,1.20938,0,0,0,0,0,0,0,0.000203718,0.000203718,0.000203718
66,2919.49,1.15824,0.61065,1.21258,0,0,0,0,0,0,0,0.000198214,0.000198214,0.000198214
67,2963.62,1.145,0.60592,1.18549,0,0,0,0,0,0,0,0.00019271,0.00019271,0.00019271
68,3008.13,1.12411,0.58409,1.19842,0,0,0,0,0,0,0,0.000187205,0.000187205,0.000187205
69,3051.85,1.12425,0.5776,1.17483,0,0,0,0,0,0,0,0.000181701,0.000181701,0.000181701
70,3096.34,1.09136,0.58019,1.16332,0,0,0,0,0,0,0,0.000176196,0.000176196,0.000176196
71,3140.23,1.10888,0.62088,1.18707,0,0,0,0,0,0,0,0.000170692,0.000170692,0.000170692
72,3184.69,1.07418,0.54981,1.16379,0,0,0,0,0,0,0,0.000165188,0.000165188,0.000165188
73,3228.38,1.09027,0.56704,1.15763,0,0,0,0,0,0,0,0.000159683,0.000159683,0.000159683
74,3272.21,1.06126,0.55101,1.14363,0,0,0,0,0,0,0,0.000154179,0.000154179,0.000154179
75,3316.72,1.05607,0.54369,1.14165,0,0,0,0,0,0,0,0.000148674,0.000148674,0.000148674
76,3360.99,1.05189,0.54614,1.13852,0,0,0,0,0,0,0,0.00014317,0.00014317,0.00014317
77,3405.15,1.02462,0.55392,1.12775,0,0,0,0,0,0,0,0.000137666,0.000137666,0.000137666
78,3449.14,1.02663,0.52916,1.1211,0,0,0,0,0,0,0,0.000132161,0.000132161,0.000132161
79,3492.98,1.0179,0.53484,1.12903,0,0,0,0,0,0,0,0.000126657,0.000126657,0.000126657
80,3536.92,1.0197,0.51786,1.12581,0,0,0,0,0,0,0,0.000121152,0.000121152,0.000121152
81,3581.13,0.98789,0.50453,1.09954,0,0,0,0,0,0,0,0.000115648,0.000115648,0.000115648
82,3625.68,0.9851,0.51993,1.11339,0,0,0,0,0,0,0,0.000110144,0.000110144,0.000110144
83,3669.79,0.97526,0.51241,1.10148,0,0,0,0,0,0,0,0.000104639,0.000104639,0.000104639
84,3714.11,0.96057,0.48883,1.09341,0,0,0,0,0,0,0,9.91348e-05,9.91348e-05,9.91348e-05
85,3758.21,0.95251,0.51191,1.09044,0,0,0,0,0,0,0,9.36304e-05,9.36304e-05,9.36304e-05
86,3802.3,0.94327,0.49018,1.08773,0,0,0,0,0,0,0,8.8126e-05,8.8126e-05,8.8126e-05
87,3846.62,0.95432,0.48165,1.09208,0,0,0,0,0,0,0,8.26216e-05,8.26216e-05,8.26216e-05
88,3890.83,0.94038,0.48661,1.07737,0,0,0,0,0,0,0,7.71172e-05,7.71172e-05,7.71172e-05
89,3934.88,0.91274,0.46534,1.06613,0,0,0,0,0,0,0,7.16128e-05,7.16128e-05,7.16128e-05
90,3979.2,0.92269,0.46649,1.07436,0,0,0,0,0,0,0,6.61084e-05,6.61084e-05,6.61084e-05
91,4021.17,0.91488,0.45283,1.11058,0,0,0,0,0,0,0,6.0604e-05,6.0604e-05,6.0604e-05
92,4063.89,0.88951,0.41838,1.08622,0,0,0,0,0,0,0,5.50996e-05,5.50996e-05,5.50996e-05
93,4106,0.86439,0.42307,1.07057,0,0,0,0,0,0,0,4.95952e-05,4.95952e-05,4.95952e-05
94,4147.89,0.85284,0.42825,1.06981,0,0,0,0,0,0,0,4.40908e-05,4.40908e-05,4.40908e-05
95,4190.36,0.84072,0.41173,1.06901,0,0,0,0,0,0,0,3.85864e-05,3.85864e-05,3.85864e-05
96,4232.18,0.84144,0.40992,1.06547,0,0,0,0,0,0,0,3.3082e-05,3.3082e-05,3.3082e-05
97,4274.53,0.83197,0.41009,1.06358,0,0,0,0,0,0,0,2.75776e-05,2.75776e-05,2.75776e-05
98,4316.4,0.83522,0.41087,1.06399,0,0,0,0,0,0,0,2.20732e-05,2.20732e-05,2.20732e-05
99,4358.16,0.81111,0.39781,1.04756,0,0,0,0,0,0,0,1.65688e-05,1.65688e-05,1.65688e-05
100,4414.78,0.80384,0.39456,1.03881,0.49681,0.45368,0.37382,0.20219,1.52185,1.9474,1.69609,1.10644e-05,1.10644e-05,1.10644e-05
